Title,1st Annotator,2nd Annotator,3rd Annotator,Voting Result,Final Take,Labelling
,,,,,,
"Olahraga Pilates Makin Populer, Ini Deret Manfaatnya",Positive,Positive,Positive,,,
,,,,,,
"Janice Tjen Luar Biasa, Lolos di 2 Nomor Final Chennai Open",Positive,Positive,Positive,,,
,,,,,,
Siapakah Pasukan RSF yang Diduga Bantai Ribuan Warga Sipil Sudan?,Negative,Negative,Neutral,,,
,,,,,,
Pertamina Peduli Salurkan Bantuan untuk Korban Bencana di Sukabumi,Positive,Positive,Neutral,,,
,,,,,,
"Cuaca Panas, Hujan hingga Banjir Rob Bayangi Sejumlah Wilayah Hari Ini",Negative,Negative,Neutral,,,
,,,,,,
Reaksi Hector Souto Soal Timnas Futsal Disamakan dengan Tim Besar,Neutral,Neutral,Neutral,,,
,,,,,,
PB XIII Akan Dimakamkan di Imogiri Yogyakarta 4 November 2025,Neutral,Neutral,Neutral,,,
,,,,,,
"PB XIII, Naik Takhta di Tengah Konflik Raja Kembar Keraton Surakarta",Neutral,Neutral,Neutral,,,
,,,,,,
"VIDEO: Cuaca Ekstrem Datang, Pohon Tumbang Mengancam",Negative,Negative,Neutral,,,
,,,,,,
Mesin Cuci Front Load Rp3 Jutaan di Transmart Full Day Sale Hari Ini,Neutral,Positive,Neutral,,,
,,,,,,
Man City vs Bournemouth: Big Match Tak Terduga di Awal Musim,Neutral,Neutral,Neutral,,,
,,,,,,
Pertamina Ajak Komunitas Otomotif Bertukar Ide Peningkatan Layanan,Positive,Positive,Neutral,,,
,,,,,,
Mengapa Perokok Lebih Rentan Alami Gangguan Mental?,Neutral,Neutral,Negative,,,
,,,,,,
Jonatan usai ke Final Hylo Open: Permainan Saya sedang Tidak In,Neutral,Negative,Neutral,,,
,,,,,,
"Penusukan Massal Terjadi di Dalam Kereta Inggris, 9 Orang Luka Parah",Negative,Negative,Neutral,,,
,,,,,,
Raja Keraton Surakarta Pakubuwono XIII Meninggal Dunia,Neutral,Negative,Neutral,,,
,,,,,,
"Vidi Aldiano Umumkan Hiatus, Fokus ke Kesehatan",Neutral,Neutral,Neutral,,,
,,,,,,
"Ramon Ang, Anak Pemilik Bengkel Jadi Bos Bir Filipina Berharta Rp58 T",Neutral,Positive,Neutral,,,
,,,,,,
Produk Kebutuhan Harian Diskon hingga 20% di Transmart Full Day Sale,Neutral,Positive,Neutral,,,
,,,,,,
"6 Adab Menjenguk Orang Sakit, Muslim Wajib Perhatikan",Neutral,Neutral,Positive,,,
,,,,,,
"Hasil Playoff MLS Cup: Messi Cetak Gol, Inter Miami Kalah 1-2",Neutral,Neutral,Neutral,,,
,,,,,,
Alasan Megawati Tak Mau Punya HP: Saya Orang yang Dicari,Neutral,Neutral,Neutral,,,
,,,,,,
Terlalu Banyak Makan Wortel Bisa Bikin Kulit Kuning? Ini Faktanya,Neutral,Neutral,Neutral,,,
,,,,,,
Zulhas: Rupiah Digital Simbol Kedaulatan Ekonomi,Positive,Neutral,Positive,,,
,,,,,,
Korban Jiwa Akibat Badai Melissa Diperkirakan Terus Bertambah,Negative,Negative,Neutral,,,
,,,,,,
FOTO: Timnas Futsal Cetak Rekor di Indonesia Arena,Positive,Positive,Neutral,,,
,,,,,,
"Hari Ini Transmart Full Day Sale Hujan Diskon, Cek Daftar Produknya",Neutral,Positive,Neutral,,,
,,,,,,
VIDEO: Projo Tak Akan Berubah Menjadi Partai Politik,Neutral,Neutral,Negative,,,
,,,,,,
"10 Hotel Terbaik di Dunia 2025, Thailand Punya 3 Wakil",Neutral,Positive,Neutral,,,
,,,,,,
Budi Arie Ungkap Alasan Ingin Gabung Gerindra,Neutral,Neutral,Neutral,,,
,,,,,,
Jadwal Siaran Langsung 3 Wakil Indonesia di Final Hylo Open 2025,Neutral,Positive,Neutral,,,
,,,,,,
"Peserta Harus Tahu, Ini Daftar Penyakit yang Ditanggung BPJS Kesehatan",Neutral,Neutral,Positive,,,
,,,,,,
"5 Fakta Masjid Al Aqsa, Kiblat Pertama Umat Islam yang Terancam Roboh",Neutral,Neutral,Neutral,,,
,,,,,,
Kaukus Kebebasan Akademik Tolak Usulan Soeharto Pahlawan Nasional,Neutral,Neutral,Neutral,,,
,,,,,,
Jadwal Siaran Langsung Persebaya vs Persis di Super League,Neutral,Neutral,Neutral,,,
,,,,,,
"Serbu Transmart Full Day Sale Sekarang, Ada Diskon 50% + 20%",Neutral,Positive,Neutral,,,
,,,,,,
VIDEO: Projo Tak Akan Berubah Menjadi Partai Politik,Neutral,Neutral,Neutral,,,
,,,,,,
30 Menit Sebelum Olahraga Sebaiknya Makan Apa? Ini 7 Rekomendasinya,Neutral,Neutral,Neutral,,,
,,,,,,
