News_Data,1st Annotator,2nd Annotator,3rd Annotator,Voting Result,Final Take,Labelling
"Olahraga Pilates Makin Populer, Ini Deret Manfaatnya",Positive,Positive,Positive,Positive,Positive,1
"Janice Tjen Luar Biasa, Lolos di 2 Nomor Final Chennai Open",Positive,Positive,Positive,Positive,Positive,1
Siapakah Pasukan RSF yang Diduga Bantai Ribuan Warga Sipil Sudan?,Negative,Negative,Neutral,Negative,Negative,-1
Pertamina Peduli Salurkan Bantuan untuk Korban Bencana di Sukabumi,Positive,Positive,Neutral,Positive,Positive,1
"Cuaca Panas, Hujan hingga Banjir Rob Bayangi Sejumlah Wilayah Hari Ini",Negative,Negative,Neutral,Negative,Negative,-1
Reaksi Hector Souto Soal Timnas Futsal Disamakan dengan Tim Besar,Neutral,Neutral,Neutral,Neutral,Neutral,0
PB XIII Akan Dimakamkan di Imogiri Yogyakarta 4 November 2025,Neutral,Neutral,Neutral,Neutral,Neutral,0
"PB XIII, Naik Takhta di Tengah Konflik Raja Kembar Keraton Surakarta",Neutral,Neutral,Neutral,Neutral,Neutral,0
"VIDEO: Cuaca Ekstrem Datang, Pohon Tumbang Mengancam",Negative,Negative,Neutral,Negative,Negative,-1
Mesin Cuci Front Load Rp3 Jutaan di Transmart Full Day Sale Hari Ini,Neutral,Positive,Neutral,Neutral,Neutral,0
Man City vs Bournemouth: Big Match Tak Terduga di Awal Musim,Neutral,Neutral,Neutral,Neutral,Neutral,0
Pertamina Ajak Komunitas Otomotif Bertukar Ide Peningkatan Layanan,Positive,Positive,Neutral,Positive,Positive,1
Mengapa Perokok Lebih Rentan Alami Gangguan Mental?,Neutral,Neutral,Negative,Neutral,Neutral,0
Jonatan usai ke Final Hylo Open: Permainan Saya sedang Tidak In,Neutral,Negative,Neutral,Neutral,Neutral,0
"Penusukan Massal Terjadi di Dalam Kereta Inggris, 9 Orang Luka Parah",Negative,Negative,Neutral,Negative,Negative,-1
Raja Keraton Surakarta Pakubuwono XIII Meninggal Dunia,Neutral,Negative,Neutral,Neutral,Neutral,0
"Vidi Aldiano Umumkan Hiatus, Fokus ke Kesehatan",Neutral,Neutral,Neutral,Neutral,Neutral,0
"Ramon Ang, Anak Pemilik Bengkel Jadi Bos Bir Filipina Berharta Rp58 T",Neutral,Positive,Neutral,Neutral,Neutral,0
