News_Data,Labelling
,
Dampak Serangan Drone Rusia di Kramatorsk Ukraina,Neutral
,
"Warga Serang Tertipu Jasa Pembuatan SKCK di Facebook, Ternyata Palsu",Negative
,
Asih dan Warga Aceh Tamiang Semringah Wakapolri Datang-Beri Bantuan Makanan,Positive
,
Puan Pastikan DPR Terima Masukan Terkait Perkembangan Bencana di Sumatra,Neutral
,
Video: 2 Mobil Wisatawan Tersesat gegara Google Maps di Gunung Pancar Bogor,Negative
,
"Dirjen Adwil Turun ke Rembele, Pastikan Bantuan Cepat Tersalur",Positive
,
"Terima Suap Rp 14,7 M, Eks Ketua PN Jaksel Divonis 12,5 Tahun Penjara",Negative
,
"Puan Dorong Evaluasi Bantuan Lewat Helikopter, Ingatkan Pejabat Harus Empati",Neutral
,
KSPSI Beri Penghargaan Pahlawan Pekerja kepada Marsinah,Positive
,
"Penangkapan Gembong Narkotika Rp 5 T, Waka MPR: Spektakuler!",Positive
,
"Lawan Arah hingga Baku Hantam, Driver Ojol di Jakbar Dinonaktifkan",Positive
,
Video: Gus Yahya Respons Isu Dugaan TPPU Rp 100 Miliar,Neutral
,
Perjuangan Ibu di Sumbar Terus Peluk Anak Saat Terseret Banjir Bandang,Positive
,
"Panja RUU DPR Serap Aspirasi UPT Kehutanan Sumsel, Soroti Pembalakan Liar",Neutral
,
"Sungai Ombilin Sumbar Membiru Bak di Swiss Meski Banjir, Jadi Tontonan Warga",Positive
,
Komisi IV DPR Minta Pemerintah Evaluasi Skema Pemanfaatan Kawasan Hutan,Positive
,
"Kelangkaan LPG-BBM Lumpuhkan Layanan Publik, Anggota DPR Minta Aksi Cepat",Negative
,
"Mobil Tabrak Pembatas Jalan di Bogor, Lalin Sempat Tersendat",Negative
,
"Video: Gus Yahya Tetap Pertahanankan Posisi Ketum PBNU, Siap Tempuh Jalur Hukum",Neutral
,
"Video Pemprov DKI Jakarta-Sulsel Kirim Dana Bantuan untuk Aceh, Sumut, Sumbar",Neutral
,
Puan Sebut DPR Siap Sinergi Evaluasi Penyebab Bencana Aceh-Sumatera,Neutral
,
Polda Riau Kirim Kontainer ke Sumbar untuk Simpan Jasad Korban Bencana,Neutral
,
"Puan-Ketua MPR China Bertemu, Bahas Bencana Alam hingga Konflik Global",Neutral
,
Polisi Umumkan Hasil Tes DNA Kerangka Diduga Bocah Alvaro Besok,Negative
,
