News_Data,Labelling
Dampak Serangan Drone Rusia di Kramatorsk Ukraina,0
"Warga Serang Tertipu Jasa Pembuatan SKCK di Facebook, Ternyata Palsu",-1
Asih dan Warga Aceh Tamiang Semringah Wakapolri Datang-Beri Bantuan Makanan,1
Puan Pastikan DPR Terima Masukan Terkait Perkembangan Bencana di Sumatra,0
Video: 2 Mobil Wisatawan Tersesat gegara Google Maps di Gunung Pancar Bogor,-1
"Dirjen Adwil Turun ke Rembele, Pastikan Bantuan Cepat Tersalur",1
"Terima Suap Rp 14,7 M, Eks Ketua PN Jaksel Divonis 12,5 Tahun Penjara",-1
"Puan Dorong Evaluasi Bantuan Lewat Helikopter, Ingatkan Pejabat Harus Empati",0
KSPSI Beri Penghargaan Pahlawan Pekerja kepada Marsinah,1
"Penangkapan Gembong Narkotika Rp 5 T, Waka MPR: Spektakuler!",1
"Lawan Arah hingga Baku Hantam, Driver Ojol di Jakbar Dinonaktifkan",1
Video: Gus Yahya Respons Isu Dugaan TPPU Rp 100 Miliar,0
Perjuangan Ibu di Sumbar Terus Peluk Anak Saat Terseret Banjir Bandang,1
"Panja RUU DPR Serap Aspirasi UPT Kehutanan Sumsel, Soroti Pembalakan Liar",0
"Sungai Ombilin Sumbar Membiru Bak di Swiss Meski Banjir, Jadi Tontonan Warga",1
Komisi IV DPR Minta Pemerintah Evaluasi Skema Pemanfaatan Kawasan Hutan,1
"Kelangkaan LPG-BBM Lumpuhkan Layanan Publik, Anggota DPR Minta Aksi Cepat",-1
"Mobil Tabrak Pembatas Jalan di Bogor, Lalin Sempat Tersendat",-1
"Video: Gus Yahya Tetap Pertahanankan Posisi Ketum PBNU, Siap Tempuh Jalur Hukum",0
"Video Pemprov DKI Jakarta-Sulsel Kirim Dana Bantuan untuk Aceh, Sumut, Sumbar",0
Puan Sebut DPR Siap Sinergi Evaluasi Penyebab Bencana Aceh-Sumatera,0
Polda Riau Kirim Kontainer ke Sumbar untuk Simpan Jasad Korban Bencana,0
"Puan-Ketua MPR China Bertemu, Bahas Bencana Alam hingga Konflik Global",0
Polisi Umumkan Hasil Tes DNA Kerangka Diduga Bocah Alvaro Besok,-1
Waka MPR: Perdagangan Manusia Adalah Pengkhianatan Cita-cita Bangsa,-1
"Terungkap di Vonis, Hakim Terdakwa Suap Migor Terima Kardus Isi USD 1 Juta",-1
"Jadi Tamu Kehormatan, Puan Bicara Peran KADIN dalam Bangun Ekonomi Nasional",0
Ragam Komentar Usai Cak Imin Ajak Tobat Nasuha karena Bencana Sumatera,0
"Tak Jaga Jarak Aman, Truk Tabrakan Beruntun di Tol Sedyatmo Jakut",-1
KDMP Syariah Bilelando Jadi Harapan Baru Pembangunan Ekonomi Kerakyatan,1
Badan Pengkajian MPR RI Bahas Reformasi Fiskal dan Tantangan Ekonomi RI,0
Video: Bak Sungai Aare Swiss Rasa Lokal? Cek Sungai Ombilin di Sumbar!,1
"Tinjau Kampung Halaman, Andre Rosiade Beri Ribuan Sembako ke Warga Siteba",1
"Video BNPB Update Jumlah Korban Bencana Sumatera: 770 Tewas, 463 Hilang",-1
Hakim Pemvonis Lepas Perkara Migor Pakai Duit Suap buat Beli Fortuner-HRV,-1
"Dialog di UPI Bandung, Eddy Soeparno Terima Aspirasi soal Kurikulum Iklim",0
Gus Yahya Tegaskan Masih Menjabat Ketum PBNU,0
Hal Memberatkan Vonis 3 Hakim Terdakwa Suap Perkara Migor: Keserakahan,-1
Mendagri Dorong Solidaritas Daerah Percepat Pemulihan Bencana,0
"Puan Terima Kunjungan Ketua MPR China, Bahas Bencana hingga Kerja Sama",0
Golkar Desak Banjir Sumatera Jadi Bencana Nasional: Dampaknya Begitu Luas,0
BRI Salurkan Bantuan untuk Warga Terdampak Bencana di Sumut-Sumbar,1
Bantuan Banjir Aceh Dipercepat Lewat Bandara Rembele,1
Momen Kunjungan Wakapolri Buat Haru Istri Bupati Aceh Tamiang,0
"Cara Ikut Lelang KPK HAKORDIA 9 Desember 2025, Cek Katalognya!",0
Material Kayu Menggunung Setelah Arus Deras Menerjang Tapanuli,-1
Kapolri: Desk Ketenagakerjaan Polri Terus Berkontribusi Selesaikan Persoalan Buruh,0
