News_Data,Labelling
"Olahraga Pilates Makin Populer, Ini Deret Manfaatnya",1
"Janice Tjen Luar Biasa, Lolos di 2 Nomor Final Chennai Open",1
Siapakah Pasukan RSF yang Diduga Bantai Ribuan Warga Sipil Sudan?,-1
Pertamina Peduli Salurkan Bantuan untuk Korban Bencana di Sukabumi,1
"Cuaca Panas, Hujan hingga Banjir Rob Bayangi Sejumlah Wilayah Hari Ini",-1
Reaksi Hector Souto Soal Timnas Futsal Disamakan dengan Tim Besar,0
PB XIII Akan Dimakamkan di Imogiri Yogyakarta 4 November 2025,0
"PB XIII, Naik Takhta di Tengah Konflik Raja Kembar Keraton Surakarta",0
"VIDEO: Cuaca Ekstrem Datang, Pohon Tumbang Mengancam",-1
Mesin Cuci Front Load Rp3 Jutaan di Transmart Full Day Sale Hari Ini,0
Man City vs Bournemouth: Big Match Tak Terduga di Awal Musim,0
Pertamina Ajak Komunitas Otomotif Bertukar Ide Peningkatan Layanan,1
Mengapa Perokok Lebih Rentan Alami Gangguan Mental?,0
Jonatan usai ke Final Hylo Open: Permainan Saya sedang Tidak In,0
"Penusukan Massal Terjadi di Dalam Kereta Inggris, 9 Orang Luka Parah",-1
Raja Keraton Surakarta Pakubuwono XIII Meninggal Dunia,0
"Vidi Aldiano Umumkan Hiatus, Fokus ke Kesehatan",0
"Ramon Ang, Anak Pemilik Bengkel Jadi Bos Bir Filipina Berharta Rp58 T",0
Produk Kebutuhan Harian Diskon hingga 20% di Transmart Full Day Sale,0
"6 Adab Menjenguk Orang Sakit, Muslim Wajib Perhatikan",0
"Hasil Playoff MLS Cup: Messi Cetak Gol, Inter Miami Kalah 1-2",0
Alasan Megawati Tak Mau Punya HP: Saya Orang yang Dicari,0
Terlalu Banyak Makan Wortel Bisa Bikin Kulit Kuning? Ini Faktanya,0
Zulhas: Rupiah Digital Simbol Kedaulatan Ekonomi,1
Korban Jiwa Akibat Badai Melissa Diperkirakan Terus Bertambah,-1
FOTO: Timnas Futsal Cetak Rekor di Indonesia Arena,1
"Hari Ini Transmart Full Day Sale Hujan Diskon, Cek Daftar Produknya",0
VIDEO: Projo Tak Akan Berubah Menjadi Partai Politik,0
"10 Hotel Terbaik di Dunia 2025, Thailand Punya 3 Wakil",0
Budi Arie Ungkap Alasan Ingin Gabung Gerindra,0
Jadwal Siaran Langsung 3 Wakil Indonesia di Final Hylo Open 2025,0
"Peserta Harus Tahu, Ini Daftar Penyakit yang Ditanggung BPJS Kesehatan",0
"5 Fakta Masjid Al Aqsa, Kiblat Pertama Umat Islam yang Terancam Roboh",0
Kaukus Kebebasan Akademik Tolak Usulan Soeharto Pahlawan Nasional,0
Jadwal Siaran Langsung Persebaya vs Persis di Super League,0
"Serbu Transmart Full Day Sale Sekarang, Ada Diskon 50% + 20%",0
VIDEO: Projo Tak Akan Berubah Menjadi Partai Politik,0
30 Menit Sebelum Olahraga Sebaiknya Makan Apa? Ini 7 Rekomendasinya,0
5 Rekomendasi Drama Korea Terbaru November 2025,0
"Sports Sepekan: Megawati Tinggalkan Manisa, Veda Ega Resmi ke Moto3",0
Morgan Stanley Prediksi Harga Emas ke Angka Ini di 2026,0
Kata-kata Pelatih Timnas Futsal Indonesia Usai Hajar Australia,0
FOTO: Ratusan Mobil Antik Tersimpan Apik di Museum Kebon Vintage Car,0
"Hasil Liga Inggris: Emi Martinez Blunder, Liverpool Hajar Aston Villa",0
"Hasil Liga Spanyol: Mbappe 2 Gol, Real Madrid Bantai Valencia",0
"Kalah Saing dengan OpenAI, Microsoft Siapkan AI Ramah Anak",1
"Hasil Liga Italia: Emil Audero Marah-marah, Cremonese Dihajar Juventus",0
"FOTO: China Luncurkan Roket Shenzhou-21 Lagi, Bawa Astronaut Termuda",0
"Hasil Chennai Open: Aldila/Janice Lolos ke Final, Lawan Banting Raket",0
"Disney-YouTube Gagal Negosiasi, Jutaan Warga AS Gigit Jari",0
"Dua Pria Tikam Penumpang Kereta Api, 9 Orang Terluka",-1
Hasil Studi: Ciri Psikopat Bisa Dikenali dari Makanan Kesukaan,0
Mengerikan! Ini 10 Badai Terbesar Dalam Sejarah Dunia,-1
Presiden Korsel Minta Prabowo Lanjutkan Kerja Sama Proyek Jet Tempur,0
Banjir Besar! 31 Tewas dan Puluhan Masih Hilang,-1
"Tanah Bisa Hilang Sekejap, Ini 4 Modus Kejam Mafia Tanah di Indonesia",0
Harga Perak Masih Menguat Sepekan di Tengah Tekanan The Fed,0
"Menang Banyak Belanja di Transmart Hari Ini, Ada Diskon Besar!",0
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,0
Peneliti Asing Ungkap Ada Ancaman Besar di Wilayah RI Ini,-1
