News_Data,Labelling,Cleaned_News-Data,Tokenized,Tokenized_Stopword,Tokenized_Stopword_Stemmed,Detokenized
"Olahraga Pilates Makin Populer, Ini Deret Manfaatnya",1,olahraga pilates makin populer ini deret manfaatnya,"['olahraga', 'pilates', 'makin', 'populer', 'ini', 'deret', 'manfaatnya']","['olahraga', 'pilates', 'populer', 'deret', 'manfaatnya']","['olahraga', 'pilates', 'populer', 'deret', 'manfaat']",olahraga pilates populer deret manfaat
"Janice Tjen Luar Biasa, Lolos di 2 Nomor Final Chennai Open",1,janice tjen luar biasa lolos di nomor final chennai open,"['janice', 'tjen', 'luar', 'biasa', 'lolos', 'di', 'nomor', 'final', 'chennai', 'open']","['janice', 'tjen', 'lolos', 'nomor', 'final', 'chennai', 'open']","['janice', 'tjen', 'lolos', 'nomor', 'final', 'chennai', 'open']",janice tjen lolos nomor final chennai open
Siapakah Pasukan RSF yang Diduga Bantai Ribuan Warga Sipil Sudan?,-1,siapakah pasukan rsf yang diduga bantai ribuan warga sipil sudan,"['siapakah', 'pasukan', 'rsf', 'yang', 'diduga', 'bantai', 'ribuan', 'warga', 'sipil', 'sudan']","['pasukan', 'rsf', 'diduga', 'bantai', 'ribuan', 'warga', 'sipil', 'sudan']","['pasu', 'rsf', 'duga', 'bantai', 'ribu', 'warga', 'sipil', 'sudan']",pasu rsf duga bantai ribu warga sipil sudan
Pertamina Peduli Salurkan Bantuan untuk Korban Bencana di Sukabumi,1,pertamina peduli salurkan bantuan untuk korban bencana di sukabumi,"['pertamina', 'peduli', 'salurkan', 'bantuan', 'untuk', 'korban', 'bencana', 'di', 'sukabumi']","['pertamina', 'peduli', 'salurkan', 'bantuan', 'korban', 'bencana', 'sukabumi']","['pertamina', 'peduli', 'salur', 'bantu', 'korban', 'bencana', 'sukabumi']",pertamina peduli salur bantu korban bencana sukabumi
"Cuaca Panas, Hujan hingga Banjir Rob Bayangi Sejumlah Wilayah Hari Ini",-1,cuaca panas hujan hingga banjir rob bayangi sejumlah wilayah hari ini,"['cuaca', 'panas', 'hujan', 'hingga', 'banjir', 'rob', 'bayangi', 'sejumlah', 'wilayah', 'hari', 'ini']","['cuaca', 'panas', 'hujan', 'banjir', 'rob', 'bayangi', 'wilayah']","['cuaca', 'panas', 'hujan', 'banjir', 'rob', 'bayang', 'wilayah']",cuaca panas hujan banjir rob bayang wilayah
Reaksi Hector Souto Soal Timnas Futsal Disamakan dengan Tim Besar,0,reaksi hector souto soal timnas futsal disamakan dengan tim besar,"['reaksi', 'hector', 'souto', 'soal', 'timnas', 'futsal', 'disamakan', 'dengan', 'tim', 'besar']","['reaksi', 'hector', 'souto', 'timnas', 'futsal', 'disamakan', 'tim']","['reaksi', 'hector', 'souto', 'timnas', 'futsal', 'sama', 'tim']",reaksi hector souto timnas futsal sama tim
PB XIII Akan Dimakamkan di Imogiri Yogyakarta 4 November 2025,0,pb xii akan dimakamkan di imogiri yogyakarta november,"['pb', 'xii', 'akan', 'dimakamkan', 'di', 'imogiri', 'yogyakarta', 'november']","['pb', 'xii', 'dimakamkan', 'imogiri', 'yogyakarta', 'november']","['pb', 'xii', 'makam', 'imogiri', 'yogyakarta', 'november']",pb xii makam imogiri yogyakarta november
"PB XIII, Naik Takhta di Tengah Konflik Raja Kembar Keraton Surakarta",0,pb xii naik takhta di tengah konflik raja kembar keraton surakarta,"['pb', 'xii', 'naik', 'takhta', 'di', 'tengah', 'konflik', 'raja', 'kembar', 'keraton', 'surakarta']","['pb', 'xii', 'takhta', 'konflik', 'raja', 'kembar', 'keraton', 'surakarta']","['pb', 'xii', 'takhta', 'konflik', 'raja', 'kembar', 'keraton', 'surakarta']",pb xii takhta konflik raja kembar keraton surakarta
"VIDEO: Cuaca Ekstrem Datang, Pohon Tumbang Mengancam",-1,video cuaca ekstrem datang pohon tumbang mengancam,"['video', 'cuaca', 'ekstrem', 'datang', 'pohon', 'tumbang', 'mengancam']","['video', 'cuaca', 'ekstrem', 'pohon', 'tumbang', 'mengancam']","['video', 'cuaca', 'ekstrem', 'pohon', 'tumbang', 'ancam']",video cuaca ekstrem pohon tumbang ancam
Mesin Cuci Front Load Rp3 Jutaan di Transmart Full Day Sale Hari Ini,0,mesin cuci front load rp jutaan di transmart full day sale hari ini,"['mesin', 'cuci', 'front', 'load', 'rp', 'jutaan', 'di', 'transmart', 'full', 'day', 'sale', 'hari', 'ini']","['mesin', 'cuci', 'front', 'load', 'rp', 'jutaan', 'transmart', 'full', 'day', 'sale']","['mesin', 'cuci', 'front', 'load', 'rp', 'juta', 'transmart', 'full', 'day', 'sale']",mesin cuci front load rp juta transmart full day sale
Man City vs Bournemouth: Big Match Tak Terduga di Awal Musim,0,man city vs bournemouth big match tak terduga di awal musim,"['man', 'city', 'vs', 'bournemouth', 'big', 'match', 'tak', 'terduga', 'di', 'awal', 'musim']","['man', 'city', 'vs', 'bournemouth', 'big', 'match', 'terduga', 'musim']","['man', 'city', 'vs', 'bournemouth', 'big', 'match', 'duga', 'musim']",man city vs bournemouth big match duga musim
Pertamina Ajak Komunitas Otomotif Bertukar Ide Peningkatan Layanan,1,pertamina ajak komunitas otomotif bertukar ide peningkatan layanan,"['pertamina', 'ajak', 'komunitas', 'otomotif', 'bertukar', 'ide', 'peningkatan', 'layanan']","['pertamina', 'ajak', 'komunitas', 'otomotif', 'bertukar', 'ide', 'peningkatan', 'layanan']","['pertamina', 'ajak', 'komunitas', 'otomotif', 'tukar', 'ide', 'tingkat', 'layan']",pertamina ajak komunitas otomotif tukar ide tingkat layan
Mengapa Perokok Lebih Rentan Alami Gangguan Mental?,0,mengapa perokok lebih rentan alami gangguan mental,"['mengapa', 'perokok', 'lebih', 'rentan', 'alami', 'gangguan', 'mental']","['perokok', 'rentan', 'alami', 'gangguan', 'mental']","['okok', 'rentan', 'alami', 'ganggu', 'mental']",okok rentan alami ganggu mental
Jonatan usai ke Final Hylo Open: Permainan Saya sedang Tidak In,0,jonatan usai ke final hylo open permainan saya sedang tidak in,"['jonatan', 'usai', 'ke', 'final', 'hylo', 'open', 'permainan', 'saya', 'sedang', 'tidak', 'in']","['jonatan', 'final', 'hylo', 'open', 'permainan', 'in']","['jonatan', 'final', 'hylo', 'open', 'main', 'in']",jonatan final hylo open main in
"Penusukan Massal Terjadi di Dalam Kereta Inggris, 9 Orang Luka Parah",-1,penusukan massal terjadi di dalam kereta inggris orang luka parah,"['penusukan', 'massal', 'terjadi', 'di', 'dalam', 'kereta', 'inggris', 'orang', 'luka', 'parah']","['penusukan', 'massal', 'kereta', 'inggris', 'orang', 'luka', 'parah']","['tusuk', 'massal', 'kereta', 'inggris', 'orang', 'luka', 'parah']",tusuk massal kereta inggris orang luka parah
Raja Keraton Surakarta Pakubuwono XIII Meninggal Dunia,0,raja keraton surakarta pakubuwono xii meninggal dunia,"['raja', 'keraton', 'surakarta', 'pakubuwono', 'xii', 'meninggal', 'dunia']","['raja', 'keraton', 'surakarta', 'pakubuwono', 'xii', 'meninggal', 'dunia']","['raja', 'keraton', 'surakarta', 'pakubuwono', 'xii', 'tinggal', 'dunia']",raja keraton surakarta pakubuwono xii tinggal dunia
"Vidi Aldiano Umumkan Hiatus, Fokus ke Kesehatan",0,vidi aldiano umumkan hiatus fokus ke kesehatan,"['vidi', 'aldiano', 'umumkan', 'hiatus', 'fokus', 'ke', 'kesehatan']","['vidi', 'aldiano', 'umumkan', 'hiatus', 'fokus', 'kesehatan']","['vidi', 'aldiano', 'umum', 'hiatus', 'fokus', 'sehat']",vidi aldiano umum hiatus fokus sehat
"Ramon Ang, Anak Pemilik Bengkel Jadi Bos Bir Filipina Berharta Rp58 T",0,ramon ang anak pemilik bengkel jadi bos bir filipina berharta rp t,"['ramon', 'ang', 'anak', 'pemilik', 'bengkel', 'jadi', 'bos', 'bir', 'filipina', 'berharta', 'rp', 't']","['ramon', 'ang', 'anak', 'pemilik', 'bengkel', 'bos', 'bir', 'filipina', 'berharta', 'rp', 't']","['ramon', 'ang', 'anak', 'milik', 'bengkel', 'bos', 'bir', 'filipina', 'harta', 'rp', 't']",ramon ang anak milik bengkel bos bir filipina harta rp t
