Title,Source,Link,Content,Title_Content
"Olahraga Pilates Makin Populer, Ini Deret Manfaatnya",CNN Indonesia,https://www.cnnindonesia.com/gaya-hidup/20251030141408-255-1290128/olahraga-pilates-makin-populer-ini-deret-manfaatnya,"Di tengah maraknya tren kebugaran seperti yoga, barre, dan strength training, ada satu olahraga yang diam-diam mencuri perhatian banyak orang, Pilates. Dari selebritas hingga pekerja kantoran, semakin banyak yang melirik latihan ini karena hasilnya tak hanya terasa di otot, tapi juga di pikiran.
Bagi yang belum familiar, Pilates adalah latihan yang menitikberatkan pada kontrol gerak, kekuatan inti (core), dan pernapasan yang teratur.
Gerakannya tampak lembut, tapi jangan salah, Pilates bisa 'mem","Olahraga Pilates Makin Populer, Ini Deret Manfaatnya

Di tengah maraknya tren kebugaran seperti yoga, barre, dan strength training, ada satu olahraga yang diam-diam mencuri perhatian banyak orang, Pilates. Dari selebritas hingga pekerja kantoran, semakin banyak yang melirik latihan ini karena hasilnya tak hanya terasa di otot, tapi juga di pikiran.
Bagi yang belum familiar, Pilates adalah latihan yang menitikberatkan pada kontrol gerak, kekuatan inti (core), dan pernapasan yang teratur.
Gerakannya tampak lembut, tapi jangan salah, Pilates bisa 'mem"
"Janice Tjen Luar Biasa, Lolos di 2 Nomor Final Chennai Open",CNN Indonesia,https://www.cnnindonesia.com/olahraga/20251102103710-170-1290965/janice-tjen-luar-biasa-lolos-di-2-nomor-final-chennai-open,"Petenis putri Indonesia, Janice Tjen, tampil luar biasa dalam turnamen WTA 250, Chennai Open 2025, setelah lolos di nomor tunggal dan ganda putri di India.
Pada nomor tunggal putri, Janice Tjen akan menghadapi petenis Australia, Kimberly Birrell dalam babak final, Minggu (2/10) malam waktu Indonesia.
Perjalanan Janice yang jadi unggulan empat ke final Chennai Open dimulai dari mengalahkan petenis kualifikasi Caroline Werner dalam duel sengit tiga set di babak pertama.

ADVERTISEMENT


SCROLL","Janice Tjen Luar Biasa, Lolos di 2 Nomor Final Chennai Open

Petenis putri Indonesia, Janice Tjen, tampil luar biasa dalam turnamen WTA 250, Chennai Open 2025, setelah lolos di nomor tunggal dan ganda putri di India.
Pada nomor tunggal putri, Janice Tjen akan menghadapi petenis Australia, Kimberly Birrell dalam babak final, Minggu (2/10) malam waktu Indonesia.
Perjalanan Janice yang jadi unggulan empat ke final Chennai Open dimulai dari mengalahkan petenis kualifikasi Caroline Werner dalam duel sengit tiga set di babak pertama.

ADVERTISEMENT


SCROLL"
Siapakah Pasukan RSF yang Diduga Bantai Ribuan Warga Sipil Sudan?,CNN Indonesia,https://www.cnnindonesia.com/internasional/20251101222850-127-1290903/siapakah-pasukan-rsf-yang-diduga-bantai-ribuan-warga-sipil-sudan,"Pasukan Dukungan Cepat atau Rapid Support Forces (RSF) menjadi sorotan setelah menduduki kota di negara bagian Darfur, El Fasher, Sudan hingga diduga menyebabkan sekitar 2.000 warga sipil tewas pekan lalu.
Dalam video yang beredar di media sosial, anggota RSF diduga menyiksa dan mengeksekusi warga. Di masa lalu, personel paramiliter ini bahkan disebut kerap merekam kekejaman yang dilakukan.


ADVERTISEMENT


SCROLL TO CONTINUE WITH CONTENT

Eksekusi itu terjadi saat perang sipil berkobar di","Siapakah Pasukan RSF yang Diduga Bantai Ribuan Warga Sipil Sudan?

Pasukan Dukungan Cepat atau Rapid Support Forces (RSF) menjadi sorotan setelah menduduki kota di negara bagian Darfur, El Fasher, Sudan hingga diduga menyebabkan sekitar 2.000 warga sipil tewas pekan lalu.
Dalam video yang beredar di media sosial, anggota RSF diduga menyiksa dan mengeksekusi warga. Di masa lalu, personel paramiliter ini bahkan disebut kerap merekam kekejaman yang dilakukan.


ADVERTISEMENT


SCROLL TO CONTINUE WITH CONTENT

Eksekusi itu terjadi saat perang sipil berkobar di"
Pertamina Peduli Salurkan Bantuan untuk Korban Bencana di Sukabumi,CNN Indonesia,https://www.cnnindonesia.com/ekonomi/20251102093358-625-1290941/pertamina-peduli-salurkan-bantuan-untuk-korban-bencana-di-sukabumi,"PT Pertamina (Persero) melalui program tanggung jawab sosial dan lingkungan (TJSL) Pertamina Peduli menyalurkan bantuan bagi masyarakat terdampak banjir bandang dan longsor di Kabupaten Sukabumi, Jawa Barat.
Bantuan diserahkan secara simbolis kepada Badan Penanggulangan Bencana Daerah (BPBD) Kabupaten Sukabumi pada Jumat (31/10), sebagai bentuk kepedulian Pertamina terhadap warga yang tengah berjuang memulihkan kehidupan pascabencana.
VP Corporate Communication PT Pertamina (Persero) Fadjar Djok","Pertamina Peduli Salurkan Bantuan untuk Korban Bencana di Sukabumi

PT Pertamina (Persero) melalui program tanggung jawab sosial dan lingkungan (TJSL) Pertamina Peduli menyalurkan bantuan bagi masyarakat terdampak banjir bandang dan longsor di Kabupaten Sukabumi, Jawa Barat.
Bantuan diserahkan secara simbolis kepada Badan Penanggulangan Bencana Daerah (BPBD) Kabupaten Sukabumi pada Jumat (31/10), sebagai bentuk kepedulian Pertamina terhadap warga yang tengah berjuang memulihkan kehidupan pascabencana.
VP Corporate Communication PT Pertamina (Persero) Fadjar Djok"
"Cuaca Panas, Hujan hingga Banjir Rob Bayangi Sejumlah Wilayah Hari Ini",CNN Indonesia,https://www.cnnindonesia.com/teknologi/20251102101158-641-1290954/cuaca-panas-hujan-hingga-banjir-rob-bayangi-sejumlah-wilayah-hari-ini,"Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) mengimbau sejumlah wilayah untuk waspada terhadap potensi cuaca panas maksimum, hujan petir, hingga banjir rob pada hari ini, Minggu (2/11).
Imbauan waspada ini disampaikan prakirawan cuaca BMKG Annisa Lestari dalam siaran daring pada Minggu (2/11). Hujan dengan intensitas ringan diperkirakan mengguyur Kota Tanjung Pinang, Padang, Jambi, Bengkulu, Jakarta, Semarang, Yogyakarta, Surabaya, Denpasar, Palangkaraya, Palu, Sorong, dan Manokwari.
Sem","Cuaca Panas, Hujan hingga Banjir Rob Bayangi Sejumlah Wilayah Hari Ini

Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) mengimbau sejumlah wilayah untuk waspada terhadap potensi cuaca panas maksimum, hujan petir, hingga banjir rob pada hari ini, Minggu (2/11).
Imbauan waspada ini disampaikan prakirawan cuaca BMKG Annisa Lestari dalam siaran daring pada Minggu (2/11). Hujan dengan intensitas ringan diperkirakan mengguyur Kota Tanjung Pinang, Padang, Jambi, Bengkulu, Jakarta, Semarang, Yogyakarta, Surabaya, Denpasar, Palangkaraya, Palu, Sorong, dan Manokwari.
Sem"
Reaksi Hector Souto Soal Timnas Futsal Disamakan dengan Tim Besar,CNN Indonesia,https://www.cnnindonesia.com/olahraga/20251102101223-142-1290955/reaksi-hector-souto-soal-timnas-futsal-disamakan-dengan-tim-besar,"Pelatih Timnas Futsal Indonesia Hector Souto buka-bukaan soal Skuad Garuda yang disamakan dengan tim-tim besar setelah mengalahkan Australia 3-1 dalam laga uji coba di Indonesia Arena, Minggu (31/10).
Dalam pertandingan tersebut gol-gol kemenangan Indonesia atas Australia dicetak Reza Gunawan dan Wendy Brian Ick yang dua kali membobol gawang lawan.
Kemenangan atas Australia tersebut memperpanjang rapor positif Indonesia atas tim-tim besar. Sebelumnya Indonesia juga menang atas Belanda dalam turn","Reaksi Hector Souto Soal Timnas Futsal Disamakan dengan Tim Besar

Pelatih Timnas Futsal Indonesia Hector Souto buka-bukaan soal Skuad Garuda yang disamakan dengan tim-tim besar setelah mengalahkan Australia 3-1 dalam laga uji coba di Indonesia Arena, Minggu (31/10).
Dalam pertandingan tersebut gol-gol kemenangan Indonesia atas Australia dicetak Reza Gunawan dan Wendy Brian Ick yang dua kali membobol gawang lawan.
Kemenangan atas Australia tersebut memperpanjang rapor positif Indonesia atas tim-tim besar. Sebelumnya Indonesia juga menang atas Belanda dalam turn"
PB XIII Akan Dimakamkan di Imogiri Yogyakarta 4 November 2025,CNN Indonesia,https://www.cnnindonesia.com/nasional/20251102101754-20-1290956/pb-xiii-akan-dimakamkan-di-imogiri-yogyakarta-4-november-2025,"Raja Keraton Surakarta, Sri Susuhunan Pakubuwana XIII Hangabehi meninggal dunia dalam usia 77 tahun pada Minggu (2/11). Jenazah PB XIII akan dimakamkan di Pajimatan Imogiri, Bantul, Daerah Istimewa Yogyakarta.
Salah satu kerabat Keraton Surakarta, KPH Eddy Wirabhumi mengatakan rencananya jenazah SISKS Pakubuwana XIII akan dimakamkan pada Selasa (4/11).


ADVERTISEMENT


SCROLL TO CONTINUE WITH CONTENT

""Sedang dibicarakan. Pemakaman kemungkinan besar di hari Selasa Kliwon. Kebetulan besok ka","PB XIII Akan Dimakamkan di Imogiri Yogyakarta 4 November 2025

Raja Keraton Surakarta, Sri Susuhunan Pakubuwana XIII Hangabehi meninggal dunia dalam usia 77 tahun pada Minggu (2/11). Jenazah PB XIII akan dimakamkan di Pajimatan Imogiri, Bantul, Daerah Istimewa Yogyakarta.
Salah satu kerabat Keraton Surakarta, KPH Eddy Wirabhumi mengatakan rencananya jenazah SISKS Pakubuwana XIII akan dimakamkan pada Selasa (4/11).


ADVERTISEMENT


SCROLL TO CONTINUE WITH CONTENT

""Sedang dibicarakan. Pemakaman kemungkinan besar di hari Selasa Kliwon. Kebetulan besok ka"
"PB XIII, Naik Takhta di Tengah Konflik Raja Kembar Keraton Surakarta",CNN Indonesia,https://www.cnnindonesia.com/nasional/20251102100351-20-1290953/pb-xiii-naik-takhta-di-tengah-konflik-raja-kembar-keraton-surakarta,"Raja Keraton Surakarta, SISKS Pakubuwono XIII (PB XIII) Hangabehi meninggal dunia pada Minggu (2/11) di usia 77 tahun.
PB XIII merupakan putra tertua Pakubuwono XII (PB XII), raja sebelumnya. Ia lahir dengan nama GRM Suryadi pada 28 Juni 1948.
Langkah PB XIII menjadi Raja Solo sempat tak berjalan mulus di awal. Saudaranya yang lain dari ibu yang berbeda, yakni Kanjeng Gusti Pangeran Harya (KGPH) Panembahan Agung Tedjowulan juga mengklaim berhak atas takhta.

ADVERTISEMENT


SCROLL TO CONTINUE","PB XIII, Naik Takhta di Tengah Konflik Raja Kembar Keraton Surakarta

Raja Keraton Surakarta, SISKS Pakubuwono XIII (PB XIII) Hangabehi meninggal dunia pada Minggu (2/11) di usia 77 tahun.
PB XIII merupakan putra tertua Pakubuwono XII (PB XII), raja sebelumnya. Ia lahir dengan nama GRM Suryadi pada 28 Juni 1948.
Langkah PB XIII menjadi Raja Solo sempat tak berjalan mulus di awal. Saudaranya yang lain dari ibu yang berbeda, yakni Kanjeng Gusti Pangeran Harya (KGPH) Panembahan Agung Tedjowulan juga mengklaim berhak atas takhta.

ADVERTISEMENT


SCROLL TO CONTINUE"
"VIDEO: Cuaca Ekstrem Datang, Pohon Tumbang Mengancam",CNN Indonesia,https://www.cnnindonesia.com/tv/20251102100325-404-1290952/video-cuaca-ekstrem-datang-pohon-tumbang-mengancam,"Cuaca ekstrem yang melanda Jakarta dalam beberapa hari terakhir meningkatkan risiko terjadinya pohon tumbang di sejumlah titik. Menyikapi hal itu, Pemprov DKI Jakarta mengklaim telah menempuh langkah antisipasi, termasuk memangkas pohon-pohon yang dianggap rawan tumbang.","VIDEO: Cuaca Ekstrem Datang, Pohon Tumbang Mengancam

Cuaca ekstrem yang melanda Jakarta dalam beberapa hari terakhir meningkatkan risiko terjadinya pohon tumbang di sejumlah titik. Menyikapi hal itu, Pemprov DKI Jakarta mengklaim telah menempuh langkah antisipasi, termasuk memangkas pohon-pohon yang dianggap rawan tumbang."
Mesin Cuci Front Load Rp3 Jutaan di Transmart Full Day Sale Hari Ini,CNN Indonesia,https://www.cnnindonesia.com/ekonomi/20251031133416-97-1290483/mesin-cuci-front-load-rp3-jutaan-di-transmart-full-day-sale-hari-ini,"Transmart Full Day Sale kembali lagi hari ini, Minggu (2/11) dengan diskon gede-gedean untuk berbagai produk elektronik, seperti mesin cuci.
Khusus di Transmart Full Day Sale hari ini, mesin cuci front load 7 kg banting harga jadi Rp3.919.200 dari harga normal Rp5.689.000. Kapan lagi harganya semurah ini!


ADVERTISEMENT


SCROLL TO CONTINUE WITH CONTENT

Pastikan bayar belanjaannya pakai Allo Prime, kartu kredit Bank Mega atau Bank Mega Syariah supaya bisa dapatkan harga spesial dengan maks","Mesin Cuci Front Load Rp3 Jutaan di Transmart Full Day Sale Hari Ini

Transmart Full Day Sale kembali lagi hari ini, Minggu (2/11) dengan diskon gede-gedean untuk berbagai produk elektronik, seperti mesin cuci.
Khusus di Transmart Full Day Sale hari ini, mesin cuci front load 7 kg banting harga jadi Rp3.919.200 dari harga normal Rp5.689.000. Kapan lagi harganya semurah ini!


ADVERTISEMENT


SCROLL TO CONTINUE WITH CONTENT

Pastikan bayar belanjaannya pakai Allo Prime, kartu kredit Bank Mega atau Bank Mega Syariah supaya bisa dapatkan harga spesial dengan maks"
