Title,Source,Link
"Tegang, Canberra Tuduh Jet China Ganggu Pesawat Mata-mata Australia",CNN Indonesia,https://www.cnnindonesia.com/internasional/20251020194230-113-1286618/tegang-canberra-tuduh-jet-china-ganggu-pesawat-mata-mata-australia
Rosan Sebut Rp750 T Dividen BUMN Bakal Diinvestasikan dalam 5 Tahun,CNN Indonesia,https://www.cnnindonesia.com/ekonomi/20251020134135-92-1286458/rosan-sebut-rp750-t-dividen-bumn-bakal-diinvestasikan-dalam-5-tahun
"Bus Tabrak Warung di Labuanbatu Selatan Sumut, Lima Orang Terluka",CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020193935-20-1286617/bus-tabrak-warung-di-labuanbatu-selatan-sumut-lima-orang-terluka
FOTO: Gemas! Momen Anjing-anjing Ikut Parade Halloween,CNN Indonesia,https://www.cnnindonesia.com/gaya-hidup/20251020070646-279-1286291/foto-gemas-momen-anjing-anjing-ikut-parade-halloween
Buruh soal Luhut Minta Prabowo Tak Disetir soal UMP: Cara Kami Sah,CNN Indonesia,https://www.cnnindonesia.com/ekonomi/20251020094016-92-1286341/buruh-soal-luhut-minta-prabowo-tak-disetir-soal-ump-cara-kami-sah
"FOTO: Demo Satu Tahun Prabowo-Gibran, Massa Sampaikan 17 Tuntutan",CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020183208-22-1286594/foto-demo-satu-tahun-prabowo-gibran-massa-sampaikan-17-tuntutan
"VIDEO: Pimpin Sidang Paripurna, Prabowo Kembali Puji Jokowi",CNN Indonesia,https://www.cnnindonesia.com/tv/20251020181344-400-1286584/video-pimpin-sidang-paripurna-prabowo-kembali-puji-jokowi
Malaysia Diminta Contoh Indonesia yang Nyaris ke Piala Dunia,CNN Indonesia,https://www.cnnindonesia.com/olahraga/20251020175718-142-1286578/malaysia-diminta-contoh-indonesia-yang-nyaris-ke-piala-dunia
Pemerintah: Hanya 1 Kontainer Cengkeh Suspek Paparan Radiasi Cesium,CNN Indonesia,https://www.cnnindonesia.com/ekonomi/20251020155201-92-1286532/pemerintah-hanya-1-kontainer-cengkeh-suspek-paparan-radiasi-cesium
"VIDEO: Geger Layanan Cloud AWS Down, Amazon hingga Roblox Lumpuh",CNN Indonesia,https://www.cnnindonesia.com/teknologi/20251020184127-189-1286609/video-geger-layanan-cloud-aws-down-amazon-hingga-roblox-lumpuh
Ini Syarat dan Ketentuan Lomba Video Hidden Gem 2025 BAKTI Komdigi,CNN Indonesia,https://www.cnnindonesia.com/teknologi/20250922152647-190-1276407/ini-syarat-dan-ketentuan-lomba-video-hidden-gem-2025-bakti-komdigi
"Sinopsis Charlie's Angels 2, Bioskop Trans TV 20 Oktober 2025",CNN Indonesia,https://www.cnnindonesia.com/hiburan/20251020113659-220-1286397/sinopsis-charlies-angels-2-bioskop-trans-tv-20-oktober-2025
Setahun Prabowo dan Relasi Politik dengan Jokowi,CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020081855-32-1286311/setahun-prabowo-dan-relasi-politik-dengan-jokowi
4 Buah yang Sebaiknya Dimakan dengan Kulitnya,CNN Indonesia,https://www.cnnindonesia.com/gaya-hidup/20251020144132-262-1286490/4-buah-yang-sebaiknya-dimakan-dengan-kulitnya
Delapan Peristiwa Penting selama Setahun Prabowo-Gibran,CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020064919-20-1286280/delapan-peristiwa-penting-selama-setahun-prabowo-gibran
Warga Australia 'Panic Buying' Ramai-ramai Borong Emas,CNN Indonesia,https://www.cnnindonesia.com/internasional/20251020183521-113-1286607/warga-australia-panic-buying-ramai-ramai-borong-emas
VIDEO: Detik-detik Rumah Berpenghuni Enam Orang Ambruk,CNN Indonesia,https://www.cnnindonesia.com/tv/20251020175642-400-1286577/video-detik-detik-rumah-berpenghuni-enam-orang-ambruk
"Usia Pemerintahan Setahun, Prabowo 3 Kali Rombak Kabinet",CNN Indonesia,https://www.cnnindonesia.com/nasional/20251016113518-32-1285170/usia-pemerintahan-setahun-prabowo-3-kali-rombak-kabinet
"Viral Warung Epy Kusnandar Didatangi Preman, Polisi Turun Tangan",CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020185537-12-1286612/viral-warung-epy-kusnandar-didatangi-preman-polisi-turun-tangan
KPK Sita Mobil Seharga Rp1 Miliar di Kasus CSR BI Heri Gunawan,CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020180855-12-1286581/kpk-sita-mobil-seharga-rp1-miliar-di-kasus-csr-bi-heri-gunawan
Daftar 8 Tuntutan BEM UI di Demo 1 Tahun Prabowo-Gibran,CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020171857-20-1286568/daftar-8-tuntutan-bem-ui-di-demo-1-tahun-prabowo-gibran
Kemenimipas Torehkan Kenaikan PNBP Tertinggi Sepanjang 2025,CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020181906-25-1286586/kemenimipas-torehkan-kenaikan-pnbp-tertinggi-sepanjang-2025
Respons TransJakarta soal Pernyataan Salah Satu Komisaris Saat Orasi,CNN Indonesia,https://www.cnnindonesia.com/ekonomi/20251020174423-92-1286573/respons-transjakarta-soal-pernyataan-salah-satu-komisaris-saat-orasi
"Demo 1 Tahun Prabowo-Gibran Bubar, Ada Aksi Bakar Ban & Saling Dorong",CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020182931-20-1286591/demo-1-tahun-prabowo-gibran-bubar-ada-aksi-bakar-ban-saling-dorong
Prabowo: Indonesia Bakal Punya Mobil Buatan Lokal 3 Tahun Lagi,CNN Indonesia,https://www.cnnindonesia.com/otomotif/20251020183038-587-1286592/prabowo-indonesia-bakal-punya-mobil-buatan-lokal-3-tahun-lagi
Prabowo Minta Anak Buah Pakai Mobil Maung,CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020182457-20-1286589/prabowo-minta-anak-buah-pakai-mobil-maung
"Inggris Ketahuan Tutupi Pertemuan 'Rahasia' Menlu Israel, Kenapa?",CNN Indonesia,https://www.cnnindonesia.com/internasional/20251020161311-120-1286546/inggris-ketahuan-tutupi-pertemuan-rahasia-menlu-israel-kenapa
VIDEO: Prabowo Puji Cara Jokowi Kendalikan Inflasi,CNN Indonesia,https://www.cnnindonesia.com/nasional/20251020171243-36-1286558/video-prabowo-puji-cara-jokowi-kendalikan-inflasi
Apakah TKA Wajib untuk Masuk Kuliah? Begini Penjelasannya,CNN Indonesia,https://www.cnnindonesia.com/edukasi/20251013125618-569-1283933/apakah-tka-wajib-untuk-masuk-kuliah-begini-penjelasannya
