Title,Source,Link
Timnas Voli Putra Indonesia Lolos Perempat Final AYG 2025,CNN Indonesia,https://www.cnnindonesia.com/olahraga/20251022074016-178-1287140/timnas-voli-putra-indonesia-lolos-perempat-final-ayg-2025
"Beda Cheat Day dan Cheat Meal, Mana yang Lebih Baik?",CNN Indonesia,https://www.cnnindonesia.com/gaya-hidup/20251022071258-255-1287129/beda-cheat-day-dan-cheat-meal-mana-yang-lebih-baik
Hampir 1.000 Prajurit TNI AD Gelar Latihan Militer di Natuna Hari Ini,CNN Indonesia,https://www.cnnindonesia.com/nasional/20251022071002-20-1287128/hampir-1000-prajurit-tni-ad-gelar-latihan-militer-di-natuna-hari-ini
VIDEO: Prabowo Akui Satu Tahun Pemerintahannya Berjalan Baik,CNN Indonesia,https://www.cnnindonesia.com/tv/20251021171938-400-1286973/video-prabowo-akui-satu-tahun-pemerintahannya-berjalan-baik
FOTO: Arsenal Hancurkan Atletico Madrid di Liga Champions,CNN Indonesia,https://www.cnnindonesia.com/olahraga/20251022043035-144-1287091/foto-arsenal-hancurkan-atletico-madrid-di-liga-champions
5 Tantangan PM Baru Jepang Sanae Takaichi Si 'Iron Lady' Negeri Sakura,CNN Indonesia,https://www.cnnindonesia.com/internasional/20251021124406-113-1286857/5-tantangan-pm-baru-jepang-sanae-takaichi-si-iron-lady-negeri-sakura
"Final Karapan Sapi di Bangkalan Jatim Ricuh, Anggota Brimob Kena Bacok",CNN Indonesia,https://www.cnnindonesia.com/nasional/20251022064233-12-1287123/final-karapan-sapi-di-bangkalan-jatim-ricuh-anggota-brimob-kena-bacok
"FOTO: Menelusuri Ciliwung, Edukasi Lingkungan di Jantung Ibu Kota",CNN Indonesia,https://www.cnnindonesia.com/nasional/20251021183737-22-1286999/foto-menelusuri-ciliwung-edukasi-lingkungan-di-jantung-ibu-kota
Purbaya Respons Tantangan Demul soal Rp4 T: Periksa Saja Sendiri,CNN Indonesia,https://www.cnnindonesia.com/ekonomi/20251022064906-532-1287126/purbaya-respons-tantangan-demul-soal-rp4-t-periksa-saja-sendiri
Jadwal Siaran Langsung Liga Champions: Eintracht vs Liverpool,CNN Indonesia,https://www.cnnindonesia.com/olahraga/20251022064520-142-1287124/jadwal-siaran-langsung-liga-champions-eintracht-vs-liverpool
