Title,Source,Link
Dampak Serangan Drone Rusia di Kramatorsk Ukraina,Detik.com,https://news.detik.com/foto-news/d-8241583/dampak-serangan-drone-rusia-di-kramatorsk-ukraina
"Warga Serang Tertipu Jasa Pembuatan SKCK di Facebook, Ternyata Palsu",Detik.com,https://news.detik.com/berita/d-8242313/warga-serang-tertipu-jasa-pembuatan-skck-di-facebook-ternyata-palsu
Asih dan Warga Aceh Tamiang Semringah Wakapolri Datang-Beri Bantuan Makanan,Detik.com,https://news.detik.com/berita/d-8242307/asih-dan-warga-aceh-tamiang-semringah-wakapolri-datang-beri-bantuan-makanan
Puan Pastikan DPR Terima Masukan Terkait Perkembangan Bencana di Sumatra,Detik.com,https://news.detik.com/berita/d-8242304/puan-pastikan-dpr-terima-masukan-terkait-perkembangan-bencana-di-sumatra
Video: 2 Mobil Wisatawan Tersesat gegara Google Maps di Gunung Pancar Bogor,Detik.com,https://20.detik.com/detikupdate/20251203-251203229/video-2-mobil-wisatawan-tersesat-gegara-google-maps-di-gunung-pancar-bogor
"Dirjen Adwil Turun ke Rembele, Pastikan Bantuan Cepat Tersalur",Detik.com,https://news.detik.com/berita/d-8242306/dirjen-adwil-turun-ke-rembele-pastikan-bantuan-cepat-tersalur
"Terima Suap Rp 14,7 M, Eks Ketua PN Jaksel Divonis 12,5 Tahun Penjara",Detik.com,https://news.detik.com/berita/d-8242302/terima-suap-rp-14-7-m-eks-ketua-pn-jaksel-divonis-12-5-tahun-penjara
"Puan Dorong Evaluasi Bantuan Lewat Helikopter, Ingatkan Pejabat Harus Empati",Detik.com,https://news.detik.com/berita/d-8242301/puan-dorong-evaluasi-bantuan-lewat-helikopter-ingatkan-pejabat-harus-empati
KSPSI Beri Penghargaan Pahlawan Pekerja kepada Marsinah,Detik.com,https://news.detik.com/berita/d-8242299/kspsi-beri-penghargaan-pahlawan-pekerja-kepada-marsinah
"Penangkapan Gembong Narkotika Rp 5 T, Waka MPR: Spektakuler!",Detik.com,https://news.detik.com/berita/d-8242298/penangkapan-gembong-narkotika-rp-5-t-waka-mpr-spektakuler
"Lawan Arah hingga Baku Hantam, Driver Ojol di Jakbar Dinonaktifkan",Detik.com,https://news.detik.com/berita/d-8242297/lawan-arah-hingga-baku-hantam-driver-ojol-di-jakbar-dinonaktifkan
Video: Gus Yahya Respons Isu Dugaan TPPU Rp 100 Miliar,Detik.com,https://20.detik.com/detikupdate/20251203-251203225/video-gus-yahya-respons-isu-dugaan-tppu-rp-100-miliar
Perjuangan Ibu di Sumbar Terus Peluk Anak Saat Terseret Banjir Bandang,Detik.com,https://news.detik.com/berita/d-8242294/perjuangan-ibu-di-sumbar-terus-peluk-anak-saat-terseret-banjir-bandang
"Panja RUU DPR Serap Aspirasi UPT Kehutanan Sumsel, Soroti Pembalakan Liar",Detik.com,https://news.detik.com/berita/d-8242291/panja-ruu-dpr-serap-aspirasi-upt-kehutanan-sumsel-soroti-pembalakan-liar
"Sungai Ombilin Sumbar Membiru Bak di Swiss Meski Banjir, Jadi Tontonan Warga",Detik.com,https://news.detik.com/berita/d-8242290/sungai-ombilin-sumbar-membiru-bak-di-swiss-meski-banjir-jadi-tontonan-warga
Komisi IV DPR Minta Pemerintah Evaluasi Skema Pemanfaatan Kawasan Hutan,Detik.com,https://news.detik.com/berita/d-8242288/komisi-iv-dpr-minta-pemerintah-evaluasi-skema-pemanfaatan-kawasan-hutan
"Kelangkaan LPG-BBM Lumpuhkan Layanan Publik, Anggota DPR Minta Aksi Cepat",Detik.com,https://news.detik.com/berita/d-8242286/kelangkaan-lpg-bbm-lumpuhkan-layanan-publik-anggota-dpr-minta-aksi-cepat
"Mobil Tabrak Pembatas Jalan di Bogor, Lalin Sempat Tersendat",Detik.com,https://news.detik.com/berita/d-8242285/mobil-tabrak-pembatas-jalan-di-bogor-lalin-sempat-tersendat
"Video: Gus Yahya Tetap Pertahanankan Posisi Ketum PBNU, Siap Tempuh Jalur Hukum",Detik.com,https://20.detik.com/detikupdate/20251203-251203224/video-gus-yahya-tetap-pertahanankan-posisi-ketum-pbnu-siap-tempuh-jalur-hukum
"Video Pemprov DKI Jakarta-Sulsel Kirim Dana Bantuan untuk Aceh, Sumut, Sumbar",Detik.com,https://20.detik.com/detikupdate/20251203-251203226/video-pemprov-dki-jakarta-sulsel-kirim-dana-bantuan-untuk-aceh-sumut-sumbar
Puan Sebut DPR Siap Sinergi Evaluasi Penyebab Bencana Aceh-Sumatera,Detik.com,https://news.detik.com/berita/d-8242269/puan-sebut-dpr-siap-sinergi-evaluasi-penyebab-bencana-aceh-sumatera
Polda Riau Kirim Kontainer ke Sumbar untuk Simpan Jasad Korban Bencana,Detik.com,https://news.detik.com/berita/d-8242276/polda-riau-kirim-kontainer-ke-sumbar-untuk-simpan-jasad-korban-bencana
"Puan-Ketua MPR China Bertemu, Bahas Bencana Alam hingga Konflik Global",Detik.com,https://news.detik.com/berita/d-8242267/puan-ketua-mpr-china-bertemu-bahas-bencana-alam-hingga-konflik-global
